incident_number,calendaryear,month,incdate,call_type,problem,responsearea,jurisdiction,prioritydescription,council_district,location,longitude,latitude,is_nonconfined_structure_fire,is_confined_structure_fire,is_structure_fire,is_vehicle_fire,is_outdoor_fire,is_trash_fire,incident_category,PARCEL_ID,PROP_ID,LAND_USE,GENERAL_LAND_USE,PROPERTY_ADDRESS,IMPRV_TYPE,BLDG_SQUARE_FOOTAGE,YEAR_BUILT,UNITS,ZONING_ZTYPE,ZONING_BASE,COUNCIL_DISTRICT,MARKET_VALUE,APPRAISED_VAL,LAND_ACRES,FAR,zoning_label,zoning_category,census_tract_geoid,census_county_fips,census_tract_name,census_tract_land_area_sqm,census_population,housing_total_units,housing_1_detached,housing_1_attached,housing_2_units,housing_3_4_units,housing_5_9_units,housing_10_19_units,housing_20_49_units,housing_50plus_units,housing_mobile_home,housing_boat_rv_van,yrbuilt_total,yrbuilt_2020_later,yrbuilt_2010_2019,yrbuilt_2000_2009,yrbuilt_1990_1999,yrbuilt_1980_1989,yrbuilt_1970_1979,yrbuilt_1960_1969,yrbuilt_1950_1959,yrbuilt_1940_1949,yrbuilt_1939_earlier,IMPRV_CLEAN
23099824,2023,Jul,07/20/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-3001,AFD,3F,4,"(-97.697101,30.368713)",-97.697101,30.368713,False,False,False,False,False,True,Trash/Dumpster Fire,0243170272,249246.0,100.0,100.0,"900 EAST VILLAGE LN, TX 78758",TOWNHOMES                ,930.0,1973.0,1.0,PUD-NP,PUD,4.0,262647.0,262647.0,0.0994,0.7214432,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453040900.0,453.0,409.0,1749084.0,6507.0,2482.0,736.0,286.0,187.0,190.0,466.0,512.0,91.0,14.0,0.0,0.0,2482.0,0.0,128.0,13.0,291.0,381.0,1528.0,48.0,93.0,0.0,0.0,TOWNHOMES
23101037,2023,Jul,07/23/2023 12:00:00 AM,Fire,ELEC - Electrical Fire,00-3102,AFD,3F,10,"(-97.786240,30.372199)",-97.78624,30.372199,False,True,True,False,False,False,Structure Fire (confined),0145111013,496678.0,220.0,200.0,7211 A-101 LAKEWOOD DR 78750,TOWNHOMES,,1983.0,57.0,PUD,PUD,10.0,387262.0,387262.0,0.1454,0.003950763,Planned Unit Development,Mixed/Planned,48453030500.0,453.0,305.0,20852702.0,6951.0,3479.0,1690.0,280.0,32.0,96.0,106.0,290.0,479.0,506.0,0.0,0.0,3479.0,0.0,579.0,799.0,976.0,651.0,126.0,318.0,16.0,0.0,14.0,TOWNHOMES
23101764,2023,Jul,07/24/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-2004,AFD,3F,5,"(-97.804535,30.219445)",-97.804535,30.219445,False,False,False,False,False,True,Trash/Dumpster Fire,0412150610,510802.0,100.0,100.0,"2516 STOUTWOOD CIR, AUSTIN, TX 78745",TOWNHOMES                ,1319.0,1978.0,1.0,PUD-NP,PUD,5.0,373227.0,373227.0,0.1631,0.5183597,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453030300.0,453.0,303.0,2315778.0,4298.0,2131.0,1080.0,195.0,74.0,305.0,17.0,140.0,100.0,195.0,25.0,0.0,2131.0,0.0,30.0,20.0,79.0,295.0,643.0,853.0,211.0,0.0,0.0,TOWNHOMES
23101892,2023,Jul,07/25/2023 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-3103,AFD,3F,10,"(-97.785635,30.371535)",-97.785635,30.371535,False,False,False,False,True,False,Outdoor/Vegetation Fire,0145111013,496678.0,220.0,200.0,7211 A-101 LAKEWOOD DR 78750,TOWNHOMES,,1983.0,57.0,PUD,PUD,10.0,387262.0,387262.0,0.1454,0.003950763,Planned Unit Development,Mixed/Planned,48453030000.0,453.0,300.0,5399226.0,4279.0,2200.0,1248.0,114.0,9.0,176.0,95.0,208.0,0.0,310.0,0.0,40.0,2200.0,0.0,143.0,111.0,475.0,567.0,347.0,490.0,55.0,12.0,0.0,TOWNHOMES
23106197,2023,Aug,08/03/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-2004,AFD,3F,5,"(-97.805151,30.219624)",-97.805151,30.219624,False,False,False,False,False,True,Trash/Dumpster Fire,0412150615,510807.0,100.0,100.0,"2532 STOUTWOOD CIR, TX 78745",TOWNHOMES                ,985.0,1978.0,1.0,PUD-NP,PUD,5.0,327129.0,327129.0,0.1631,0.3976991,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453030300.0,453.0,303.0,2315778.0,4298.0,2131.0,1080.0,195.0,74.0,305.0,17.0,140.0,100.0,195.0,25.0,0.0,2131.0,0.0,30.0,20.0,79.0,295.0,643.0,853.0,211.0,0.0,0.0,TOWNHOMES
23111112,2023,Aug,08/12/2023 12:00:00 AM,Fire,ELEC - Electrical Fire,00-0303,AFD,3F,9,"(-97.739561,30.299813)",-97.739561,30.299813,False,True,True,False,False,False,Structure Fire (confined),0218031705,212741.0,100.0,100.0,"506 W 33 ST, TX 78705",TOWNHOMES                ,2130.0,1981.0,1.0,SF-3-HD-NCCD-NP,SF,9.0,601203.0,601203.0,0.0801,0.6148538,Single Family Residential (Neighborhood Plan),Residential,48453000500.0,453.0,5.0,1152032.0,3931.0,2386.0,770.0,25.0,214.0,196.0,327.0,326.0,477.0,51.0,0.0,0.0,2386.0,0.0,11.0,135.0,295.0,330.0,347.0,279.0,162.0,86.0,741.0,TOWNHOMES
23112700,2023,Aug,08/14/2023 12:00:00 AM,Fire,ELEC - Electrical Fire,00-1001,AFD,3F,10,"(-97.769685,30.289504)",-97.769685,30.289504,False,True,True,False,False,False,Structure Fire (confined),0114050817,114230.0,220.0,200.0,2500 1 ENFIELD RD 78703,TOWNHOMES,,1982.0,10.0,MF-3-NP,MF,10.0,498586.0,498586.0,0.0492,0.05353734,Multifamily Residential (Neighborhood Plan),Residential,48453001605.0,453.0,16.05,1894186.0,4712.0,2469.0,1305.0,25.0,116.0,208.0,147.0,424.0,225.0,19.0,0.0,0.0,2469.0,0.0,157.0,132.0,93.0,271.0,176.0,204.0,253.0,507.0,676.0,TOWNHOMES
23113965,2023,Aug,08/17/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-2004,AFD,3F,5,"(-97.805151,30.219624)",-97.805151,30.219624,False,False,False,False,False,True,Trash/Dumpster Fire,0412150615,510807.0,100.0,100.0,"2532 STOUTWOOD CIR, TX 78745",TOWNHOMES                ,985.0,1978.0,1.0,PUD-NP,PUD,5.0,327129.0,327129.0,0.1631,0.3976991,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453030300.0,453.0,303.0,2315778.0,4298.0,2131.0,1080.0,195.0,74.0,305.0,17.0,140.0,100.0,195.0,25.0,0.0,2131.0,0.0,30.0,20.0,79.0,295.0,643.0,853.0,211.0,0.0,0.0,TOWNHOMES
23117911,2023,Aug,08/24/2023 12:00:00 AM,Fire,BRSHL - Brush Alarm / Light,00-2004,AFD,2F,5,"(-97.807181,30.218978)",-97.807181,30.218978,False,False,False,False,True,False,Outdoor/Vegetation Fire,0412171323,317488.0,220.0,200.0,2605 B W STASSNEY LN 78745,TOWNHOMES,,,40.0,SF-3-NP,SF,5.0,391365.0,391365.0,0.1452,0.00877637,Single Family Residential (Neighborhood Plan),Residential,48453032100.0,453.0,321.0,6070399.0,5181.0,3219.0,879.0,19.0,0.0,117.0,175.0,1163.0,419.0,447.0,0.0,0.0,3219.0,97.0,226.0,522.0,1294.0,426.0,568.0,25.0,39.0,9.0,13.0,TOWNHOMES
23119127,2023,Aug,08/26/2023 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-0802,AFD,3F,4,"(-97.701285,30.365217)",-97.701285,30.365217,False,False,False,False,True,False,Outdoor/Vegetation Fire,0242150902,247528.0,220.0,200.0,1010 1 W RUNDBERG LN 78758,TOWNHOMES,,,32.0,MF-2-NP,MF,4.0,338160.0,338160.0,0.0773,0.01281619,Multifamily Residential (Neighborhood Plan),Residential,48453040600.0,453.0,406.0,898796.0,3516.0,1417.0,347.0,157.0,177.0,120.0,182.0,318.0,49.0,40.0,27.0,0.0,1417.0,0.0,0.0,15.0,257.0,367.0,339.0,378.0,15.0,0.0,46.0,TOWNHOMES
23173948,2023,Dec,12/19/2023 12:00:00 AM,Fire,ELEC - Electrical Fire,00-2002,AFD,3F,5,"(-97.812009,30.193854)",-97.812009,30.193854,False,True,True,False,False,False,Structure Fire (confined),0419191002,333278.0,220.0,200.0,7825 1 BEAUREGARD CIR 78745,TOWNHOMES,,1983.0,52.0,LO,LO,5.0,558749.0,558749.0,0.2077,0.009974012,Limited Office,Office,48453030900.0,453.0,309.0,3612891.0,7581.0,3344.0,2723.0,212.0,313.0,18.0,38.0,0.0,0.0,40.0,0.0,0.0,3344.0,19.0,294.0,615.0,192.0,1148.0,1053.0,0.0,23.0,0.0,0.0,TOWNHOMES
24000276,2024,Jan,01/01/2024 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-1804,AFD,3F,4,"(-97.691245,30.329829)",-97.691245,30.329829,False,False,False,False,False,True,Trash/Dumpster Fire,0229181544,230584.0,100.0,100.0,1303 MC KIE DR 78752,TOWNHOMES,,,28.0,MF-3-NP,MF,4.0,153217.0,153217.0,0.0919,0.009182516,Multifamily Residential (Neighborhood Plan),Residential,48453043300.0,453.0,433.0,1146286.0,4086.0,1426.0,299.0,223.0,418.0,0.0,83.0,264.0,87.0,52.0,0.0,0.0,1426.0,0.0,12.0,346.0,132.0,438.0,240.0,119.0,0.0,108.0,31.0,TOWNHOMES
24004832,2024,Jan,01/11/2024 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-2002,AFD,1F,5,"(-97.811177,30.194101)",-97.811177,30.194101,True,False,True,False,False,False,Structure Fire (non-confined),0419191002,333278.0,220.0,200.0,7825 1 BEAUREGARD CIR 78745,TOWNHOMES,,1983.0,52.0,LO,LO,5.0,558749.0,558749.0,0.2077,0.009974012,Limited Office,Office,48453030900.0,453.0,309.0,3612891.0,7581.0,3344.0,2723.0,212.0,313.0,18.0,38.0,0.0,0.0,40.0,0.0,0.0,3344.0,19.0,294.0,615.0,192.0,1148.0,1053.0,0.0,23.0,0.0,0.0,TOWNHOMES
24030256,2024,Feb,02/28/2024 12:00:00 AM,Fire,TRASH - Trash Fire,00-2004,AFD,3F,5,"(-97.807181,30.218978)",-97.807181,30.218978,False,False,False,False,False,True,Trash/Dumpster Fire,0412171323,317488.0,220.0,200.0,2605 B W STASSNEY LN 78745,TOWNHOMES,,,40.0,SF-3-NP,SF,5.0,391365.0,391365.0,0.1452,0.00877637,Single Family Residential (Neighborhood Plan),Residential,48453032100.0,453.0,321.0,6070399.0,5181.0,3219.0,879.0,19.0,0.0,117.0,175.0,1163.0,419.0,447.0,0.0,0.0,3219.0,97.0,226.0,522.0,1294.0,426.0,568.0,25.0,39.0,9.0,13.0,TOWNHOMES
24059334,2024,Apr,04/29/2024 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-3104,AFD,1F,10,"(-97.774982,30.340188)",-97.774982,30.340188,True,False,True,False,False,False,Structure Fire (non-confined),0133071025,128658.0,220.0,200.0,4305 A-1 BONNELL VISTA CV 78731,TOWNHOMES,,1985.0,40.0,SF-2,SF,10.0,606774.0,606774.0,0.1154,0.008607103,Single Family Residential,Residential,48453030700.0,453.0,307.0,4900423.0,4028.0,1849.0,1662.0,170.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,1849.0,0.0,12.0,37.0,487.0,921.0,211.0,143.0,20.0,0.0,18.0,TOWNHOMES
24083148,2024,Jun,06/15/2024 12:00:00 AM,Fire,AUTO - Auto Fire,00-1002,AFD,2F,10,"(-97.770380,30.298129)",-97.77038,30.298129,False,False,False,True,False,False,Vehicle Fire,0116060216,116019.0,220.0,200.0,3303 1 WINDSOR RD 78703,TOWNHOMES,,,10.0,SF-3-NP,SF,10.0,576378.0,576378.0,0.112,0.05953491,Single Family Residential (Neighborhood Plan),Residential,48453001604.0,453.0,16.04,3035085.0,4111.0,1867.0,1463.0,289.0,17.0,0.0,71.0,18.0,0.0,0.0,9.0,0.0,1867.0,60.0,222.0,149.0,28.0,182.0,201.0,201.0,233.0,347.0,244.0,TOWNHOMES
24114931,2024,Aug,08/18/2024 12:00:00 AM,Fire,TRASH - Trash Fire,00-1401,AFD,3F,9,"(-97.693668,30.293075)",-97.693668,30.293075,False,False,False,False,False,True,Trash/Dumpster Fire,0217181523,920156.0,100.0,100.0,"4100 TANIGUCHI ST ST, TX 78723",TOWNHOMES                ,1438.0,2022.0,0.0,PUD,PUD,9.0,571501.0,571501.0,0.04,,Planned Unit Development,Mixed/Planned,48453000308.0,453.0,3.08,1466970.0,2258.0,1090.0,253.0,300.0,0.0,31.0,19.0,0.0,73.0,414.0,0.0,0.0,1090.0,48.0,873.0,24.0,0.0,18.0,61.0,31.0,0.0,35.0,0.0,TOWNHOMES
24129469,2024,Sep,09/17/2024 12:00:00 AM,Fire,TRASH - Trash Fire,00-3001,AFD,3F,4,"(-97.697699,30.367561)",-97.697699,30.367561,False,False,False,False,False,True,Trash/Dumpster Fire,0243170238,249212.0,100.0,100.0,"9613 COVEY RIDGE LN, TX 78758",TOWNHOMES                ,1237.0,1972.0,1.0,PUD-NP,PUD,4.0,281847.0,281847.0,0.0978,1.019925,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453040900.0,453.0,409.0,1749084.0,6507.0,2482.0,736.0,286.0,187.0,190.0,466.0,512.0,91.0,14.0,0.0,0.0,2482.0,0.0,128.0,13.0,291.0,381.0,1528.0,48.0,93.0,0.0,0.0,TOWNHOMES
24146030,2024,Oct,10/19/2024 12:00:00 AM,Fire,BOX -Structure Fire,00-1401,AFD,1F,9,"(-97.701999,30.298643)",-97.701999,30.298643,True,False,True,False,False,False,Structure Fire (non-confined),0217161607,811818.0,100.0,100.0,"2032 ROBERT BROWNING ST, AUSTIN, TX 78723",TOWNHOMES                ,2815.0,2014.0,0.0,PUD,PUD,9.0,731041.0,731041.0,0.0585,1.103909,Planned Unit Development,Mixed/Planned,48453000309.0,453.0,3.09,1902076.0,5267.0,2913.0,832.0,408.0,67.0,0.0,88.0,0.0,71.0,1447.0,0.0,0.0,2913.0,0.0,1622.0,1043.0,23.0,10.0,11.0,156.0,38.0,10.0,0.0,TOWNHOMES
24166626,2024,Nov,11/28/2024 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-1710,AFD,3F,2,"(-97.773875,30.197057)",-97.773875,30.197057,False,False,False,False,True,False,Outdoor/Vegetation Fire,0420050403,334301.0,100.0,100.0,"401 NORTH BLUFF DR, TX 78745",TOWNHOMES                ,1337.0,2024.0,1.0,SF-6-NP,SF,2.0,688717.0,688717.0,2.819,0.01090405,Single Family Residential (Neighborhood Plan),Residential,48453002443.0,453.0,24.43,1755323.0,4050.0,2626.0,550.0,93.0,0.0,66.0,244.0,745.0,608.0,311.0,9.0,0.0,2626.0,15.0,750.0,1112.0,218.0,269.0,171.0,34.0,57.0,0.0,0.0,TOWNHOMES
24166745,2024,Nov,11/28/2024 12:00:00 AM,Fire,TRASH - Trash Fire,00-2301,AFD,3F,4,"(-97.685492,30.358517)",-97.685492,30.358517,False,False,False,False,False,True,Trash/Dumpster Fire,0239200123,243413.0,220.0,200.0,9435 A-1 MIDDLE FISKVILLE RD 78753,TOWNHOMES,,,32.0,CS-MU-V-CO-NP,CS,4.0,655577.0,655577.0,0.2129,0.04444608,"General Commercial Services (Neighborhood Plan, Conditional Overlay, Mixed Use, Vertical Mixed Use)",Commercial,48453041600.0,453.0,416.0,3250425.0,8459.0,3281.0,1797.0,396.0,305.0,129.0,61.0,177.0,147.0,240.0,29.0,0.0,3281.0,0.0,328.0,483.0,470.0,546.0,844.0,379.0,231.0,0.0,0.0,TOWNHOMES
24172435,2024,Dec,12/10/2024 12:00:00 AM,Fire,ELEC - Electrical Fire,00-2702,AFD,3F,8,"(-97.840999,30.224681)",-97.840999,30.224681,False,True,True,False,False,False,Structure Fire (confined),0410250535,314552.0,220.0,200.0,6501 101 BRUSH COUNTRY RD 78749,TOWNHOMES,,1984.0,62.0,SF-6-NP,SF,8.0,492011.0,492011.0,0.118,0.004614811,Single Family Residential (Neighborhood Plan),Residential,48453032000.0,453.0,320.0,4370204.0,6303.0,3267.0,1140.0,260.0,66.0,28.0,298.0,825.0,429.0,221.0,0.0,0.0,3267.0,16.0,140.0,668.0,866.0,991.0,432.0,11.0,109.0,0.0,34.0,TOWNHOMES
24177874,2024,Dec,12/21/2024 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-1903,AFD,3F,10,"(-97.756890,30.351875)",-97.75689,30.351875,False,False,False,False,False,True,Trash/Dumpster Fire,0137020416,133829.0,220.0,200.0,3619 F NORTH HILLS DR 78731,TOWNHOMES,,,6.0,LR,LR,10.0,249845.0,249845.0,0.0588,0.06799634,Neighborhood Commercial,Commercial,48453030600.0,453.0,306.0,3519720.0,5820.0,3399.0,981.0,430.0,98.0,292.0,473.0,490.0,176.0,459.0,0.0,0.0,3399.0,0.0,12.0,15.0,374.0,1037.0,1349.0,444.0,168.0,0.0,0.0,TOWNHOMES
24178508,2024,Dec,12/22/2024 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-2002,AFD,1F,5,"(-97.812009,30.193854)",-97.812009,30.193854,True,False,True,False,False,False,Structure Fire (non-confined),0419191002,333278.0,220.0,200.0,7825 1 BEAUREGARD CIR 78745,TOWNHOMES,,1983.0,52.0,LO,LO,5.0,558749.0,558749.0,0.2077,0.009974012,Limited Office,Office,48453030900.0,453.0,309.0,3612891.0,7581.0,3344.0,2723.0,212.0,313.0,18.0,38.0,0.0,0.0,40.0,0.0,0.0,3344.0,19.0,294.0,615.0,192.0,1148.0,1053.0,0.0,23.0,0.0,0.0,TOWNHOMES
